time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
9/28/2020 6:00,-0.047691884,6810,-324.78173,307467.54,10.61791333
9/28/2020 9:00,-0.052972758,7723,-409.10861,186674.05,10.57645
9/28/2020 12:00,-0.039466458,10350,-408.4778403,336652.93,10.57587667
9/28/2020 15:00,-0.048678697,9981,-485.8620748,341118.16,10.63071333
9/28/2020 18:00,-0.130188578,9168,-1193.568883,173783.04,10.61305
9/28/2020 21:00,-0.093817437,8468,-794.4460565,506898.5,10.64923333
9/29/2020 0:00,-0.053438354,7234,-386.5730528,390607.45,10.27507333
9/29/2020 3:00,-0.081538247,6150,-501.4602191,330690.24,10.21749333
9/29/2020 6:00,-0.08444293,7281,-614.8289733,140646.02,10.24052
9/29/2020 9:00,-0.101778055,8249,-839.5671757,157855.53,10.15704
9/29/2020 12:00,-0.070173153,9922,-696.2580241,517768.82,10.04099667
9/29/2020 15:00,-0.088199692,10871,-958.8188517,908283.41,9.697576667
9/29/2020 18:00,-0.05470588,9883,-540.658212,391028.9,9.771176667
9/29/2020 21:00,-0.05407879,8497,-459.5074786,341747.76,9.80683
9/30/2020 0:00,-0.079100754,9416,-744.8126997,274598.23,10.05359
9/30/2020 3:00,-0.035980254,7449,-268.016912,294221.08,9.87683
9/30/2020 6:00,-0.070771124,7426,-525.5463668,144590.88,9.64474
9/30/2020 9:00,-0.075931889,7333,-556.808542,130563.73,9.786456667
9/30/2020 12:00,-0.03962862,10517,-416.7741965,269267.23,9.800753333
9/30/2020 15:00,0.003273574,12197,39.92778208,197756.02,9.953663333
9/30/2020 18:00,0.006512788,11067,72.0770248,231412.58,9.816093333
9/30/2020 21:00,-0.036958927,8500,-314.1508795,183524.85,9.81052
10/1/2020 0:00,-0.054820763,7739,-424.2578849,285956.93,9.97258
10/1/2020 3:00,0.014487823,6899,99.95149088,230122.72,10.01987333
10/1/2020 6:00,-0.04197743,7188,-301.7337668,188025.51,10.22362667
10/1/2020 9:00,-0.023252994,8189,-190.4187679,113795.86,10.23126
10/1/2020 12:00,-0.026459871,10314,-272.9071095,183230.62,10.29865333
10/1/2020 15:00,-0.037764361,16842,-636.027368,1232474.45,9.860866667
10/1/2020 18:00,-0.03815355,13013,-496.4921462,392950.89,9.603653333
10/1/2020 21:00,-0.014424162,10226,-147.5014806,202984,9.5713
10/2/2020 0:00,-0.000249113,8479,-2.112229127,153909.23,9.580513333
10/2/2020 3:00,0.0014823,8891,13.1791293,686934.62,9.664376667
10/2/2020 6:00,-0.049582491,9240,-458.1422168,567088.94,9.294916667
10/2/2020 9:00,-0.013166102,9455,-124.4854944,584138.54,9.011016667
10/2/2020 12:00,-0.004598794,12358,-56.83189625,671959.69,9.016476667
10/2/2020 15:00,-0.016316993,10617,-173.2375147,323148.14,9.203363333
10/2/2020 18:00,-0.005691594,9540,-54.29780676,276341.56,9.220393333
10/2/2020 21:00,-0.04852228,8321,-403.7538919,268756.53,9.180746667
10/3/2020 0:00,-0.070141792,6060,-425.0592595,155118.52,9.20916
10/3/2020 3:00,-0.043723069,6018,-263.1254292,116266.89,9.261553333
10/3/2020 6:00,-0.031486692,6509,-204.9468782,68961.12,9.18944
10/3/2020 9:00,-0.033939157,6517,-221.1814862,113835.88,9.222466667
10/3/2020 12:00,0.000367083,8000,2.936664,78166.56,9.20372
10/3/2020 15:00,-0.012760446,8807,-112.3812479,159749.35,9.198253333
10/3/2020 18:00,-0.02391295,7897,-188.8405662,258234.81,9.38843
10/3/2020 21:00,0.002132881,6861,14.63369654,123899.09,9.364936667
10/4/2020 0:00,-0.003042541,6199,-18.86071166,207711.18,9.248413333
10/4/2020 3:00,0.007398428,5509,40.75793985,84405.98,9.2
10/4/2020 6:00,0.034690833,6055,210.0529938,100974.9,9.266186667
10/4/2020 9:00,0.003206106,6055,19.41297183,38137.47,9.24485
10/4/2020 12:00,-0.003555137,7386,-26.25824188,67367.98,9.270096667
10/4/2020 15:00,-0.02452107,8624,-211.4697077,196409.13,9.202663333
10/4/2020 18:00,0.018083625,8606,155.6276767,188555.36,9.324546667
10/4/2020 21:00,-0.001183157,7439,-8.801504923,160187.66,9.354793333
10/5/2020 0:00,-0.023778073,6087,-144.7371304,306195.62,9.47992
10/5/2020 3:00,-0.035847662,5452,-195.4414532,93095.09,9.48774
10/5/2020 6:00,-0.035179021,6166,-216.9138435,126663.32,9.38711
10/5/2020 9:00,0.010675538,7611,81.25151972,90686.93,9.343163333
10/5/2020 12:00,-0.01386331,9241,-128.1108477,177649.02,9.43355
10/5/2020 15:00,-0.043447529,10104,-438.993833,418563.63,9.56004
10/5/2020 18:00,-0.016277979,9093,-148.015663,254520.52,9.52803
10/5/2020 21:00,-0.049229231,9132,-449.5613375,133754.96,9.584176667
10/6/2020 0:00,-0.053596199,7119,-381.5513407,167719.72,9.56588
10/6/2020 3:00,-0.008747377,6296,-55.07348559,97164.99,9.5394
10/6/2020 6:00,-0.029887389,6872,-205.3861372,166266.83,9.39055
10/6/2020 9:00,-0.036181193,7634,-276.2072274,318422.96,9.306766667
10/6/2020 12:00,-0.068198875,9797,-668.1443784,319724.05,9.10984
10/6/2020 15:00,-0.026171967,11150,-291.8174321,377651.79,9.15431
10/6/2020 18:00,-0.079756755,10175,-811.5249821,661639.78,8.989986667
10/6/2020 21:00,-0.062137872,8462,-525.8106729,409069.16,8.712963333
10/7/2020 0:00,0.017770894,7746,137.6533449,795280.59,8.66379
10/7/2020 3:00,-0.022442765,6459,-144.9578191,243864.77,8.6395
10/7/2020 6:00,-0.106610088,7307,-778.999913,163476.1,8.790353333
10/7/2020 9:00,-0.015544877,7888,-122.6179898,155846.33,8.714896667
10/7/2020 12:00,-0.011809152,9800,-115.7296896,203203.12,8.783236667
10/7/2020 15:00,-0.033872894,10615,-359.5607698,345799.79,8.85862
10/7/2020 18:00,-0.021895405,9350,-204.7220368,247666.59,8.882496667
10/7/2020 21:00,-0.060433344,9069,-548.0699967,237949.82,8.901063333
10/8/2020 0:00,-0.048232077,7364,-355.181015,143824.46,8.89238
10/8/2020 3:00,-0.034438411,6674,-229.841955,198593.01,8.779463333
10/8/2020 6:00,-0.015335696,8377,-128.4671254,187001.45,8.613093333
10/8/2020 9:00,-0.052216521,7578,-395.6967961,55639.56,8.577763333
10/8/2020 12:00,-0.024074656,14110,-339.6933962,630913.22,8.76649
10/8/2020 15:00,-0.01597132,15086,-240.9433335,680442.05,9.345153333
10/8/2020 18:00,-0.050151212,11730,-588.2737168,412384.04,9.427823333
10/8/2020 21:00,-0.0444112,9298,-412.9353376,343130.37,9.535203333
10/9/2020 0:00,-0.040253188,7923,-318.9260085,168943.7,9.509176667
10/9/2020 3:00,-0.050094839,6664,-333.8320071,194917.72,9.52001
10/9/2020 6:00,-0.067573658,7908,-534.3724875,184441.53,9.424583333
10/9/2020 9:00,-0.037789579,8506,-321.438159,640584.2,9.741426667
